encoder_size,experiment_name,model,seed,test_acc,train_acc,transfer,tune_acc
1024,t1024fwcomp,comp,,0.610119049,0.8819078952,True,0.6802083343
1024,t1024fwcomp,comp,,0.6242559531,0.8871710528,True,0.7010416687000001
1024,t1024fwcomp,comp,,0.6108630959,0.8304276317,True,0.6677083343
1024,t1024fwcomp,comp,,0.5974702388,0.7580592106999999,True,0.6697916687
1024,t1024fwcomp,comp,,0.6056547633,0.7074013156,True,0.6645833343
1024,r1024fwcomp,comp,663.0,0.59375,0.7133223688916156,False,0.653125
1024,r1024fwcomp,comp,7682.0,0.5915178571428571,0.807401315946328,False,0.683333334326744
1024,r1024fwcomp,comp,5658.0,0.6421130959476743,0.8189144738410649,False,0.667708334326744
1024,r1024fwcomp,comp,5037.0,0.5491071428571429,0.6873355264726438,False,0.652083334326744
1024,r1024fwcomp,comp,9615.0,0.625,0.8317434215231946,False,0.667708334326744
1024,r1024fwcomp,comp,2418.0,0.5833333347524915,0.9263157899442472,False,0.665625
1024,r1024fwcomp,comp,6976.0,0.6257440490382058,0.7600328945799878,False,0.6885416686534882
1024,r1024fwcomp,comp,1574.0,0.5870535714285714,0.7819078948936964,False,0.6895833343267441
1024,r1024fwcomp,comp,7440.0,0.5982142857142857,0.8476973685779069,False,0.6958333343267441
1024,r1024fwcomp,comp,7167.0,0.623511906181063,0.7822368419484088,False,0.6666666686534881
1024,r1024fwcomp,comp,5908.0,0.6220238102333886,0.8307565787905141,False,0.678125
1024,r1024fwcomp,comp,9010.0,0.5885416673762458,0.7555921054200122,False,0.6854166686534882
1024,r1024fwcomp,comp,3763.0,0.6063988102333886,0.8414473682641983,False,0.6697916686534882
1024,r1024fwcomp,comp,1323.0,0.5907738102333886,0.8495065789473685,False,0.671875
1024,r1024fwcomp,comp,3838.0,0.6108630959476743,0.7297697373126683,False,0.6697916686534882
1024,r1024fwcomp,comp,3422.0,0.5736607142857143,0.7937499998431456,False,0.6947916686534882
1024,r1024fwcomp,comp,2025.0,0.6279761918953487,0.7391447369989596,False,0.6760416686534881
1024,r1024fwcomp,comp,3102.0,0.6049107142857143,0.8600328948936964,False,0.678125
1024,r1024fwcomp,comp,8981.0,0.5773809530905315,0.7314144741547736,False,0.6625
1024,r1024fwcomp,comp,4102.0,0.6086309530905315,0.8292763162600366,False,0.6770833343267441
512,r512fwcomp,comp,663.0,0.6287202388048172,0.9123355267863524,False,0.6625
512,r512fwcomp,comp,7245.0,0.5959821428571429,0.7296052630010404,False,0.667708334326744
512,r512fwcomp,comp,9134.0,0.6279761918953487,0.8399671057337209,False,0.6885416686534882
512,r512fwcomp,comp,7325.0,0.625,0.8251644741547736,False,0.6854166686534882
512,r512fwcomp,comp,7413.0,0.6153273816619601,0.8029605267863524,False,0.6760416686534881
512,r512fwcomp,comp,9443.0,0.6436011918953487,0.7215460531021419,False,0.6760416686534881
512,r512fwcomp,comp,5.0,0.6168154776096344,0.7177631580515912,False,0.6572916686534882
512,r512fwcomp,comp,2166.0,0.6108630959476743,0.8884868425758261,False,0.6895833343267441
512,r512fwcomp,comp,4390.0,0.6361607142857143,0.7824013162600366,False,0.6791666686534882
512,r512fwcomp,comp,4887.0,0.6220238102333886,0.7848684215231946,False,0.6729166686534882
512,r512fwcomp,comp,4411.0,0.6019345245191029,0.7057565787905141,False,0.6822916686534881
512,r512fwcomp,comp,3687.0,0.6205357142857143,0.7300986843673807,False,0.6604166686534881
512,r512fwcomp,comp,4759.0,0.6376488102333886,0.7248355267863524,False,0.6666666686534881
512,r512fwcomp,comp,8101.0,0.6197916673762458,0.8695723688916156,False,0.665625
512,r512fwcomp,comp,7353.0,0.6436011918953487,0.8366776320495104,False,0.6666666686534881
